"","State","Years","Median_Bach","Bach_M_Median","Bach_F_Median","Median_Grad","Grad_M_Median","Grad_F_Median"
"178","Minnesota",2021,"63,482","(X)","(X)","80,120","(X)","(X)"
"179","Minnesota",2020,"59,849","(X)","(X)","76,350","(X)","(X)"
"180","Minnesota",2019,"60,316","(X)","(X)","75,925","(X)","(X)"
"181","Minnesota",2018,"57,806","(X)","(X)","73,062","(X)","(X)"
"182","Minnesota",2017,"56,347","(X)","(X)","72,143","(X)","(X)"
"183","Minnesota",2016,"54,749","(X)","(X)","70,728","(X)","(X)"
"184","Minnesota",2015,"51,601","(X)","(X)","67,260","(X)","(X)"
"185","Mississippi",2022,"50,731","(X)","(X)","57,266","(X)","(X)"
"186","Mississippi",2021,"45,353","(X)","(X)","59,223","(X)","(X)"
"187","Mississippi",2020,"44,626","(X)","(X)","56,644","(X)","(X)"
"188","Mississippi",2019,"44,148","(X)","(X)","56,208","(X)","(X)"
"189","Mississippi",2018,"42,497","(X)","(X)","55,339","(X)","(X)"
"190","Mississippi",2017,"41,706","(X)","(X)","54,539","(X)","(X)"
"191","Mississippi",2016,"42,130","(X)","(X)","51,943","(X)","(X)"
"192","Mississippi",2015,"39,960","(X)","(X)","51,111","(X)","(X)"
"193","Missouri",2022,"57,693","(X)","(X)","70,894","(X)","(X)"
"194","Missouri",2021,"53,855","(X)","(X)","65,480","(X)","(X)"
"195","Missouri",2020,"50,856","(X)","(X)","63,088","(X)","(X)"
"196","Missouri",2019,"51,217","(X)","(X)","63,368","(X)","(X)"
"197","Missouri",2018,"50,659","(X)","(X)","61,244","(X)","(X)"
"198","Missouri",2017,"48,238","(X)","(X)","60,056","(X)","(X)"
"199","Missouri",2016,"45,701","(X)","(X)","57,229","(X)","(X)"
"200","Missouri",2015,"45,607","(X)","(X)","57,209","(X)","(X)"
"201","Montana",2022,"50,894","(X)","(X)","68,235","(X)","(X)"
"202","Montana",2021,"50,126","(X)","(X)","65,176","(X)","(X)"
"203","Montana",2020,"42,729","(X)","(X)","57,794","(X)","(X)"
"204","Montana",2019,"42,150","(X)","(X)","58,287","(X)","(X)"
"205","Montana",2018,"42,224","(X)","(X)","56,959","(X)","(X)"
"206","Montana",2017,"40,244","(X)","(X)","57,421","(X)","(X)"
"207","Montana",2016,"39,650","(X)","(X)","52,319","(X)","(X)"
"208","Montana",2015,"39,292","(X)","(X)","52,284","(X)","(X)"
"209","Nebraska",2022,"58,817","(X)","(X)","74,208","(X)","(X)"
"210","Nebraska",2021,"53,663","(X)","(X)","69,714","(X)","(X)"
"211","Nebraska",2020,"50,886","(X)","(X)","64,792","(X)","(X)"
"212","Nebraska",2019,"50,779","(X)","(X)","61,853","(X)","(X)"
"213","Nebraska",2018,"50,032","(X)","(X)","62,451","(X)","(X)"
"214","Nebraska",2017,"50,138","(X)","(X)","61,324","(X)","(X)"
"215","Nebraska",2016,"46,260","(X)","(X)","61,459","(X)","(X)"
"216","Nebraska",2015,"46,833","(X)","(X)","60,470","(X)","(X)"
"217","Nevada",2022,"59,999","(X)","(X)","75,253","(X)","(X)"
"218","Nevada",2021,"52,227","(X)","(X)","71,112","(X)","(X)"
"219","Nevada",2020,"49,742","(X)","(X)","68,910","(X)","(X)"
"220","Nevada",2019,"50,293","(X)","(X)","66,105","(X)","(X)"
"221","Nevada",2018,"48,779","(X)","(X)","67,845","(X)","(X)"
"222","Nevada",2017,"48,974","(X)","(X)","65,557","(X)","(X)"
"223","Nevada",2016,"46,908","(X)","(X)","62,224","(X)","(X)"
"224","Nevada",2015,"45,977","(X)","(X)","62,155","(X)","(X)"
"225","New Hampshire",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"226","New Hampshire",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"227","New Hampshire",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"228","New Hampshire",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"229","New Hampshire",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"230","New Hampshire",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"231","New Hampshire",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"232","New Hampshire",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"233","New Jersey",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"234","New Jersey",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"235","New Jersey",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"236","New Jersey",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"237","New Jersey",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"238","New Jersey",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"239","New Jersey",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"240","New Jersey",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"241","New Mexico",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"242","New Mexico",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"243","New Mexico",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"244","New Mexico",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"245","New Mexico",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"246","New Mexico",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"247","New Mexico",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"248","New Mexico",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"249","New York",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"250","New York",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"251","New York",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"252","New York",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"253","New York",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"254","New York",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"255","New York",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"256","New York",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"257","North Carolina",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"258","North Carolina",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"259","North Carolina",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"260","North Carolina",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"261","North Carolina",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"262","North Carolina",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"263","North Carolina",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"264","North Carolina",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"265","North Dakota",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"266","North Dakota",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"267","North Dakota",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"268","North Dakota",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"269","North Dakota",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"270","North Dakota",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"271","North Dakota",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"272","North Dakota",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"273","Ohio",2022,"62,605","(X)","(X)","77,691","(X)","(X)"
"274","Ohio",2021,"58,453","(X)","(X)","74,866","(X)","(X)"
"275","Ohio",2020,"54,403","(X)","(X)","70,412","(X)","(X)"
"276","Ohio",2019,"53,680","(X)","(X)","71,180","(X)","(X)"
"277","Ohio",2018,"52,613","(X)","(X)","67,945","(X)","(X)"
"278","Ohio",2017,"51,684","(X)","(X)","66,321","(X)","(X)"
"279","Ohio",2016,"50,830","(X)","(X)","65,773","(X)","(X)"
"280","Ohio",2015,"50,191","(X)","(X)","62,324","(X)","(X)"
"281","Oklahoma",2022,"53,732","(X)","(X)","70,191","(X)","(X)"
"282","Oklahoma",2021,"50,771","(X)","(X)","65,294","(X)","(X)"
